Reply with exactly OK. Do not run tools. Terminal output follows:
pytest tests/test_payments.py::test_checkout_flow FAILED
E AssertionError: expected status 200 got 500 | request_id=req_0000 | stack frame app/payments.py:120
E AssertionError: expected status 200 got 500 | request_id=req_0001 | stack frame app/payments.py:121
E AssertionError: expected status 200 got 500 | request_id=req_0002 | stack frame app/payments.py:122
E AssertionError: expected status 200 got 500 | request_id=req_0003 | stack frame app/payments.py:123
E AssertionError: expected status 200 got 500 | request_id=req_0004 | stack frame app/payments.py:124
E AssertionError: expected status 200 got 500 | request_id=req_0005 | stack frame app/payments.py:125
E AssertionError: expected status 200 got 500 | request_id=req_0006 | stack frame app/payments.py:126
E AssertionError: expected status 200 got 500 | request_id=req_0007 | stack frame app/payments.py:127
E AssertionError: expected status 200 got 500 | request_id=req_0008 | stack frame app/payments.py:128
E AssertionError: expected status 200 got 500 | request_id=req_0009 | stack frame app/payments.py:129
E AssertionError: expected status 200 got 500 | request_id=req_0010 | stack frame app/payments.py:130
E AssertionError: expected status 200 got 500 | request_id=req_0011 | stack frame app/payments.py:131
E AssertionError: expected status 200 got 500 | request_id=req_0012 | stack frame app/payments.py:132
E AssertionError: expected status 200 got 500 | request_id=req_0013 | stack frame app/payments.py:133
E AssertionError: expected status 200 got 500 | request_id=req_0014 | stack frame app/payments.py:134
E AssertionError: expected status 200 got 500 | request_id=req_0015 | stack frame app/payments.py:135
E AssertionError: expected status 200 got 500 | request_id=req_0016 | stack frame app/payments.py:136
E AssertionError: expected status 200 got 500 | request_id=req_0017 | stack frame app/payments.py:137
E AssertionError: expected status 200 got 500 | request_id=req_0018 | stack frame app/payments.py:138
E AssertionError: expected status 200 got 500 | request_id=req_0019 | stack frame app/payments.py:139
E AssertionError: expected status 200 got 500 | request_id=req_0020 | stack frame app/payments.py:140
E AssertionError: expected status 200 got 500 | request_id=req_0021 | stack frame app/payments.py:141
E AssertionError: expected status 200 got 500 | request_id=req_0022 | stack frame app/payments.py:142
E AssertionError: expected status 200 got 500 | request_id=req_0023 | stack frame app/payments.py:143
E AssertionError: expected status 200 got 500 | request_id=req_0024 | stack frame app/payments.py:144
E AssertionError: expected status 200 got 500 | request_id=req_0025 | stack frame app/payments.py:145
E AssertionError: expected status 200 got 500 | request_id=req_0026 | stack frame app/payments.py:146
E AssertionError: expected status 200 got 500 | request_id=req_0027 | stack frame app/payments.py:147
E AssertionError: expected status 200 got 500 | request_id=req_0028 | stack frame app/payments.py:148
E AssertionError: expected status 200 got 500 | request_id=req_0029 | stack frame app/payments.py:149
E AssertionError: expected status 200 got 500 | request_id=req_0030 | stack frame app/payments.py:120
E AssertionError: expected status 200 got 500 | request_id=req_0031 | stack frame app/payments.py:121
E AssertionError: expected status 200 got 500 | request_id=req_0032 | stack frame app/payments.py:122
E AssertionError: expected status 200 got 500 | request_id=req_0033 | stack frame app/payments.py:123
E AssertionError: expected status 200 got 500 | request_id=req_0034 | stack frame app/payments.py:124
E AssertionError: expected status 200 got 500 | request_id=req_0035 | stack frame app/payments.py:125
E AssertionError: expected status 200 got 500 | request_id=req_0036 | stack frame app/payments.py:126
E AssertionError: expected status 200 got 500 | request_id=req_0037 | stack frame app/payments.py:127
E AssertionError: expected status 200 got 500 | request_id=req_0038 | stack frame app/payments.py:128
E AssertionError: expected status 200 got 500 | request_id=req_0039 | stack frame app/payments.py:129
E AssertionError: expected status 200 got 500 | request_id=req_0040 | stack frame app/payments.py:130
E AssertionError: expected status 200 got 500 | request_id=req_0041 | stack frame app/payments.py:131
E AssertionError: expected status 200 got 500 | request_id=req_0042 | stack frame app/payments.py:132
E AssertionError: expected status 200 got 500 | request_id=req_0043 | stack frame app/payments.py:133
E AssertionError: expected status 200 got 500 | request_id=req_0044 | stack frame app/payments.py:134
E AssertionError: expected status 200 got 500 | request_id=req_0045 | stack frame app/payments.py:135
E AssertionError: expected status 200 got 500 | request_id=req_0046 | stack frame app/payments.py:136
E AssertionError: expected status 200 got 500 | request_id=req_0047 | stack frame app/payments.py:137
E AssertionError: expected status 200 got 500 | request_id=req_0048 | stack frame app/payments.py:138
E AssertionError: expected status 200 got 500 | request_id=req_0049 | stack frame app/payments.py:139
E AssertionError: expected status 200 got 500 | request_id=req_0050 | stack frame app/payments.py:140
E AssertionError: expected status 200 got 500 | request_id=req_0051 | stack frame app/payments.py:141
E AssertionError: expected status 200 got 500 | request_id=req_0052 | stack frame app/payments.py:142
E AssertionError: expected status 200 got 500 | request_id=req_0053 | stack frame app/payments.py:143
E AssertionError: expected status 200 got 500 | request_id=req_0054 | stack frame app/payments.py:144
E AssertionError: expected status 200 got 500 | request_id=req_0055 | stack frame app/payments.py:145
E AssertionError: expected status 200 got 500 | request_id=req_0056 | stack frame app/payments.py:146
E AssertionError: expected status 200 got 500 | request_id=req_0057 | stack frame app/payments.py:147
E AssertionError: expected status 200 got 500 | request_id=req_0058 | stack frame app/payments.py:148
E AssertionError: expected status 200 got 500 | request_id=req_0059 | stack frame app/payments.py:149
E AssertionError: expected status 200 got 500 | request_id=req_0060 | stack frame app/payments.py:120
E AssertionError: expected status 200 got 500 | request_id=req_0061 | stack frame app/payments.py:121
E AssertionError: expected status 200 got 500 | request_id=req_0062 | stack frame app/payments.py:122
E AssertionError: expected status 200 got 500 | request_id=req_0063 | stack frame app/payments.py:123
E AssertionError: expected status 200 got 500 | request_id=req_0064 | stack frame app/payments.py:124
E AssertionError: expected status 200 got 500 | request_id=req_0065 | stack frame app/payments.py:125
E AssertionError: expected status 200 got 500 | request_id=req_0066 | stack frame app/payments.py:126
E AssertionError: expected status 200 got 500 | request_id=req_0067 | stack frame app/payments.py:127
